node_id,growth_stage,terrace_elevation,slope_degree,bund_height_m,weather_forecast,moisture_pct,acoustic_velocity,ec_ds_m,temperature_c,humidity_pct,ml_label
T3-00000,panicle_initiation,3,15.5,0.65,cloudy,22.13,1552.68,0.6,37.13,65.11,0
T3-00001,heading,3,15.5,0.65,heavy_rain,30.17,1545.42,0.99,26.41,48.18,0
T1-00002,maturity,1,12.5,0.45,cloudy,12.09,1534.19,1.14,32.77,40.78,0
T3-00003,panicle_initiation,3,15.5,0.65,cloudy,23.03,1534.97,0.91,29.29,51.43,0
T3-00004,seedling,3,15.5,0.65,heavy_rain,22.21,1523.63,1.84,27.85,86.57,0
T3-00005,seedling,3,15.5,0.65,sunny,31.34,1503.49,0.78,20.75,77.31,0
T3-00006,tillering,3,15.5,0.65,cloudy,8.05,1535.72,0.71,31.19,44.58,0
T3-00007,heading,3,15.5,0.65,heavy_rain,34.05,1544.63,0.68,32.92,50.27,0
T1-00008,grain_filling,1,12.5,0.45,cloudy,20.96,1506.69,1.95,28.03,53.26,0
T3-00009,tillering,3,15.5,0.65,heavy_rain,1.54,1560.76,1.91,26.47,71.0,1
T3-00010,heading,3,15.5,0.65,cloudy,31.07,1549.08,1.06,39.0,23.3,1
T2-00011,tillering,2,14.0,0.5,cloudy,6.59,1546.85,0.85,23.86,53.56,0
T1-00012,seedling,1,12.5,0.45,heavy_rain,36.61,1498.01,1.68,21.47,64.83,0
T3-00013,panicle_initiation,3,15.5,0.65,heavy_rain,3.31,1569.12,1.56,22.55,58.56,1
T1-00014,grain_filling,1,12.5,0.45,cloudy,7.12,1561.31,1.34,29.94,52.99,1
T3-00015,heading,3,15.5,0.65,sunny,2.97,1553.31,0.62,25.3,67.28,1
T2-00016,panicle_initiation,2,14.0,0.5,sunny,27.79,1546.82,1.44,34.77,39.52,0
T2-00017,maturity,2,14.0,0.5,heavy_rain,11.57,1533.26,0.54,20.13,81.54,0
T2-00018,panicle_initiation,2,14.0,0.5,sunny,4.75,1557.12,1.4,22.87,42.51,1
T3-00019,maturity,3,15.5,0.65,cloudy,8.17,1522.55,0.84,23.84,44.04,0
T3-00020,heading,3,15.5,0.65,sunny,29.25,1551.51,1.82,43.57,16.6,1
T2-00021,heading,2,14.0,0.5,heavy_rain,31.8,1544.61,1.26,33.74,67.19,0
T3-00022,seedling,3,15.5,0.65,sunny,37.23,1545.06,1.46,25.72,60.47,0
T1-00023,heading,1,12.5,0.45,cloudy,26.44,1546.69,1.68,40.18,30.3,1
T3-00024,seedling,3,15.5,0.65,sunny,2.44,1562.25,1.98,30.03,65.9,1
T1-00025,tillering,1,12.5,0.45,heavy_rain,1.1,1548.33,1.6,18.39,62.19,1
T3-00026,maturity,3,15.5,0.65,heavy_rain,13.66,1540.22,1.64,29.37,75.67,0
T2-00027,grain_filling,2,14.0,0.5,cloudy,6.44,1551.91,1.88,22.35,59.33,1
T1-00028,grain_filling,1,12.5,0.45,sunny,20.77,1522.67,1.29,25.53,52.78,0
T1-00029,tillering,1,12.5,0.45,heavy_rain,48.48,1546.45,0.21,35.14,75.06,2
T2-00030,maturity,2,14.0,0.5,cloudy,2.93,1544.35,1.64,26.2,47.27,1
T1-00031,heading,1,12.5,0.45,sunny,32.16,1529.0,1.7,26.42,80.74,0
T1-00032,grain_filling,1,12.5,0.45,sunny,7.65,1568.5,0.64,22.62,76.38,1
T2-00033,panicle_initiation,2,14.0,0.5,heavy_rain,22.25,1528.14,0.9,24.41,73.72,0
T2-00034,maturity,2,14.0,0.5,cloudy,6.08,1563.31,0.7,20.76,56.98,1
